('2017-05-09 21:58:24', 'RT @BK_Stocks: $MRNJ 58M bid support 😮, she ready 🚀! $BKD $AMLH $ELED $MMEX $SPY $DOLV $ENRT $AAPL $NXTD $ASTI $DBMM $CBIS $SING #mondaymot…')
('2017-05-09 21:56:43', '$AMZN $GOOGL $INTC $MSFT $AAPL:\n\nAmazon’s New Echo Show Is Impressive, But Don’t Count Google …:\n\nhttps://t.co/THF30qnDCz')
('2017-05-09 21:55:05', 'Caution To The Wind, #Nasdaq Froth Continues $VIX $AAPL $AMZN $XLF $XLE $SPX $SNAP $NDX https://t.co/a1HmYIwO5A')
('2017-05-09 21:52:51', "RT @StockTwits: Apple is up 32% this year. That's a market cap increase of $200 billion in just 5 months.\n\n$AAPL bulls right now: https://t…")
('2017-05-09 21:52:48', '$AAPL stock price is up 57,403% since its IPO in December 1980')
('2017-05-09 21:52:13', 'Apple Sends out Press Invites to WWDC 2017 https://t.co/4J3ivpHpyN #PatentlyApple $AAPL https://t.co/IVUvjR1LQC')
('2017-05-09 21:51:45', '$STUDY $SPY also..when $AAPL goes higher its put option strikes go higher which creates a floor of support for the stock and broad mrkt')
('2017-05-09 21:51:36', 'TSLA Targets - Market Update by Vince Vora for May 9th, 2017 #stocks $AAPL $WFC $FB $AMZN $NFLX $GOOGL $TSLA https://t.co/VjuLOhFFjG')
('2017-05-09 21:51:29', 'RT @CNBCFastMoney: Apple may have a hit a new all-time high, but @RichartRoss says it’s still worth a buy $AAPL https://t.co/hmilgVhJwa')
('2017-05-09 21:51:22', 'Trump just fired James Comey.  Another step towards draining that stink of a swamp. $Tsla $aapl $amd $gnca $googl $vrx $cmg $v $nflx $amzn')
('2017-05-09 21:50:49', '@CNBCFastMoney As a $DIS owner yes as an $AAPL owner no')
('2017-05-09 21:50:30', 'RT @CNBCFastMoney: Apple may have a hit a new all-time high, but @RichartRoss says it’s still worth a buy $AAPL https://t.co/hmilgVhJwa')
('2017-05-09 21:50:14', "@CNBCFastMoney $AAPL should start it's own production co. &amp; make its own content... see $NFLX &amp; $AMZN")
('2017-05-09 21:50:10', 'The Swiss National Bank is buying 100,000 shares of Apple, every single day $AAPL https://t.co/OxUkqstDHe')
('2017-05-09 21:50:01', 'RT @brent_whiteside: $evsv .0003 on the move, was .0008 recently\n$BKD $AMLH $ELED $MMEX $SPY $DOLV $ENRT $AAPL $NXTD $ASTI $DBMM $CBIS $SING')
('2017-05-09 21:49:12', "@erwillia It IS cool when you realize you don't need a single $AAPL device in your home anymore. They taught us Siri &amp; Tablets...thx, bye...")
('2017-05-09 21:48:40', 'RT @BK_Stocks: $MRNJ 58M bid support 😮, she ready 🚀! $BKD $AMLH $ELED $MMEX $SPY $DOLV $ENRT $AAPL $NXTD $ASTI $DBMM $CBIS $SING #mondaymot…')
('2017-05-09 21:46:32', '$AAPL Apple Inc 153.99 Had 38,898,711 1 Month Highs. AAPL Last price 153.99 Last change +0.98 +0.64%.  https://t.co/iD5RouU86l')
('2017-05-09 21:46:23', '@CNBCFastMoney Buying a well diversified company like $DIS will be a smart move by $AAPL. Use some of that $200B+ c… https://t.co/gkQ5VbMr6k')
