('2017-04-18 10:04:07', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/zurf00Xq4b'),,,,,,,,,,
('2017-04-18 10:04:07', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/vBwm3h64si'),,,,,,,,,,
('2017-04-18 10:04:06', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/S9Kr418xOJ'),,,,,,,,,,
('2017-04-18 10:01:09', 'Weekly S&amp;P100 #Stocks Performance $DOW $DD $FDX $BA $MSFT $CAT $TXN $FOXA $FB $IBM $JPM $GD $PCLN $USB  more@ https://t.co/cKkr8csQUU'),,,,,,,,,,
('2017-04-18 10:00:53', 'Weekly Dow #Stocks Trend $DD $MSFT $CAT $INTC $MRK $BA $CSCO $AAPL $IBM $JPM $MCD $UNH $DIS $V $HD $TRV $AXP  @ https://t.co/TvzJfd0RGT'),,,,,,,,,,
('2017-04-18 09:58:46', '12,628 Shares in JPMorgan Chase &amp; Co. $JPM Acquired by Cambria Investment Management L.P. https://t.co/JKUSRgySM2'),,,,,,,,,
('2017-04-18 09:58:46', 'JPMorgan Chase &amp; Co. $JPM Stake Boosted by Ancora Advisors LLC https://t.co/oaDcmZbHYf'),,,,,,,,,,
('2017-04-18 09:45:47'," ""We'll see if $GS and $BAC earnings react better. Last week we had $JPM earnings which was fine. https://t.co/0KZ20au2wk"")",,,,,,,,,,
('2017-04-18 09:30:01', 'RT @arnabch01: #AI #ML #BigData #HPC #fintech #roboadvisor to revolutionize #AssetManagement #banking $BLK $C $JPM $GS $WFC $MS $BK https:/‰Û_'),,,,,,,,,,
('2017-04-18 09:29:42', 'RT @arnabch01: #AI #ML #BigData #HPC #fintech #roboadvisor to revolutionize #AssetManagement #banking $BLK $C $JPM $GS $WFC $MS $BK https:/‰Û_'),,,,,,,,,,
('2017-04-18 09:24:27'," ""Look out for $gs and $bac earnings. We'll see if hey react any better then $JPM after it's earnings last week"")",,,,,,,,,,
