('2017-04-19 10:18:44', 'JPMorgan Chase &amp; Co. $JPM Shares Bought by Guggenheim Capital LLC https://t.co/ECBbn9uIqc'),,,,,,,,,,,
('2017-04-19 10:17:05', '306,760 Shares in JPMorgan Chase &amp; Co. $JPM Acquired by Banco Santander S.A. https://t.co/X7l4KLicAI'),,,,,,,,,,
('2017-04-19 10:07:25', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/77scWvmyrJ'),,,,,,,,,,,
('2017-04-19 10:04:08', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/F8Eh4g8F4x'),,,,,,,,,,,
('2017-04-19 10:04:08', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/Pf3QHYSCJr'),,,,,,,,,,,
('2017-04-19 10:04:07', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/ipeud5e3pd'),,,,,,,,,,,
('2017-04-19 10:04:07', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/POAVDb8MlB'),,,,,,,,,,,
('2017-04-19 10:04:06', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/lzaUEgjMWH'),,,,,,,,,,,
('2017-04-19 10:04:06', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/jKEW6N4uFH'),,,,,,,,,,,
('2017-04-19 10:04:05', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/vV1YLaH6fM'),,,,,,,,,,,
('2017-04-19 10:01:19', 'Weekly S&amp;P100 #Stocks Performance $DOW $DD $FDX $BA $MSFT $CAT $TXN $FOXA $FB $IBM $JPM $GD $PCLN $USB  more@ https://t.co/cKkr8csQUU'),,,,,,,,,,,
('2017-04-19 10:00:54', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/uTbfLpAPOM‰Û_ https://t.co/yHdGxaABQ4'),,,,,,,,,,,
('2017-04-19 09:58:44', 'Focused Wealth Management Inc Sells 3,068 Shares of JPMorgan Chase &amp; Co. $JPM https://t.co/8vogocyFIu'),,,,,,,,,,
('2017-04-19 09:57:38', 'Focused Wealth Management Inc Sells 3,068 Shares of JPMorgan Chase &amp; Co. $JPM https://t.co/2BjSuAkegt'),,,,,,,,,,
('2017-04-19 09:48:56'," ""Liar's Poker by Michael Lewis: https://t.co/b8y3x8Enn1 $WFM $JPM $C $AAPL $TSLA $NFLX $SPY"")",,,,,,,,,,,
('2017-04-19 09:47:55'," ""RT @jpmorgan: From the $JPM Art Collection: Leonard Baskin's bronze sculpture 'Owl.' Currently featured at @YoungArts in our #MiamiArtWeek‰Û_"")",,,,,,,,,,,
('2017-04-19 09:40:26', 'RT @LauraJKeller: Late-breaking on #studentloans: JPMorgan to sell $7 billion of the debt to loan giant Navient https://t.co/KVpNnKG2Pj $JP‰Û_'),,,,,,,,,,,
('2017-04-19 09:21:51'," ""America Has A New Banking King And It's 52% Undervalued https://t.co/9qntcIe3Jt $WFC $JPM"")",,,,,,,,,,,
('2017-04-19 07:44:59', 'RT @OTCMarketsNews: $JPM $AEM JPMorgan‰Ûªs most preferred US gold producer is Agnico Eagle Mines Ltd (NYSE:AEM) https://t.co/7Ate8NoGLF'),,,,,,,,,,,
('2017-04-19 07:39:02', 'RT @OTCMarketsNews: $JPM $AEM JPMorgan‰Ûªs most preferred US gold producer is Agnico Eagle Mines Ltd (NYSE:AEM) https://t.co/7Ate8NoGLF'),,,,,,,,,,,
('2017-04-19 07:34:02'," ""Btw"," Estimated #Earnings Per Share for $JPM is $1.7 it's 2% of the current price https://t.co/8SO56VSzUl"")",,,,,,,,,,
('2017-04-19 07:16:42', '#Dow #stocks $JPM JPMorgan Chase Daily:0.21% Weekly:3.9% YTD:0.74% Trend:83 / 100  https://t.co/EovIb6YJsz'),,,,,,,,,,,
('2017-04-19 06:57:19', 'RT @bfsi_financial: #JPMorganChase Earnings Outlook: J.P. Morgan earnings: Expect strong trading results, talk o... Read more: https://t.co‰Û_'),,,,,,,,,,
('2017-04-19 06:53:12', '$JPM $AEM JPMorgan‰Ûªs most preferred US gold producer is Agnico Eagle Mines Ltd (NYSE:AEM) https://t.co/9kYS0Au0xF ‰Û_'),,,,,,,,,,,
('2017-04-19 06:51:20', '@GoogleExpertUK thanks for follow! See Vista Partners #WorldNews Commentary #Investing #Dow30‰Û_ https://t.co/cdloYQ0Ugv'),,,,,,,,,,,
('2017-04-19 06:21:11', 'Weekly Bull Flags galore https://t.co/ROeBzI6O8B ,JPM,CSCO,GOOGL,CMCSA&amp;ta=0&amp;p=w $MSFT $NFLX $HD $JPM $MCHP $TMUS'),,,,,,,
('2017-04-19 06:08:16', '$JPM said in 2013 it was pulling back from lending to students https://t.co/iTOqytCN5w'),,,,,,,,,,,
('2017-04-19 06:06:07', '$NAVI to acquire $JPM $6.9B in education loan assets https://t.co/YOZ8CpfejE'),,,,,,,,,,,
('2017-04-19 05:38:03', 'What will Happen With $V @Visa Earnings?\n$bac\n$gs\n$JPM\n$TM\n$TSLA\n$uvxy\n$snap\n$SVXY\n$jnug\n$NUGT\n$jdst\n$tvix\n$VIX\n$MON\n$nvda\n$amd\n$PYPL\n$shop'),,,,,,,,,,,
('2017-04-19 05:19:16', 'RT @NASDboy: Only stock video you ever need to watch.\n\n$SPY $GS $AAPL $FB $AMZN $GILD $SPY $JNUG $NVDA $AMD $MSFT $BAC $JPM\n\nhttps://t.co/5‰Û_'),,,,,,,,,,,
('2017-04-19 05:16:33', 'Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/Rwpf6Sogpu https://t.co/TLxWCu9PHv'),,,,,,,,,,,
('2017-04-19 05:16:16', '#JPMorganChase organ accused of fraud over tech company sale. Read more: https://t.co/e5WiJGtf4N $JPM'),,,,,,,,,,,
('2017-04-19 04:35:08', '$JPM JPMorgan accused of fraud over tech company sale https://t.co/Tjh357pqjr'),,,,,,,,,,,
('2017-04-19 04:32:22', '@AngelsonGroup thanks for follow! See Vista Partners #MarketNews Commentary #equities https://t.co/1x6MLaGp0d $JPM‰Û_ https://t.co/OEphz5WnIp'),,,,,,,,,,,
('2017-04-19 04:23:47'," ""RT @StockTwits: 29 companies have already reported Q1 2017 earnings. Here's a list to catch you up: https://t.co/zfR26OJNjL\n\n$JPM  $WFC $NK‰Û_"")",,,,,,,,,,,
('2017-04-19 04:20:21', 'Only stock video you ever need to watch.\n\n$SPY $GS $AAPL $FB $AMZN $GILD $SPY $JNUG $NVDA $AMD $MSFT $BAC $JPM\n\nhttps://t.co/59lKScBUhk'),,,,,,,,,,,
('2017-04-19 03:40:26', 'RT @TalkMarkets: Up And Down $BAC $C $GLW $GS $IBM $JNJ $JPM $T $VZ $MSFT $SNAP https://t.co/QtGVLSbwXF'),,,,,,,,,,,
('2017-04-19 03:40:17', 'RT @MonsoonWM: Up And Down $BAC $C $GLW $GS $IBM $JNJ $JPM $T $VZ $MSFT $SNAP https://t.co/GpseDaUr2C'),,,,,,,,,,,
('2017-04-19 03:40:06', 'RT @JohnSpall247: $BAC #BAC #MOYNIHAN #SmallBusiness #lending UNIT HAD BEST #Production EVER #JPM $JPM @MariaBartiromo @dagenmcdowell @real‰Û_'),,,,,,,,,,,
